casts,cover,cover_x,cover_y,directors,id,rate,star,title,url
"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,2000,2963,['弗兰克·德拉邦特'],1292052,9.6,50,肖申克的救赎,https://movie.douban.com/subject/1292052/
"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,2229,3300,['克里斯托弗·诺兰'],3541415,9.3,45,盗梦空间,https://movie.douban.com/subject/3541415/
"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,721,1035,['罗伯特·泽米吉斯'],1292720,9.4,45,阿甘正传,https://movie.douban.com/subject/1292720/
"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,2015,3000,['詹姆斯·卡梅隆'],1292722,9.3,45,泰坦尼克号,https://movie.douban.com/subject/1292722/
"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,1076,1600,['罗伯·莱纳'],3319755,8.9,45,怦然心动,https://movie.douban.com/subject/3319755/
"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,1000,1500,['加布里埃莱·穆奇诺'],1849031,9.0,45,当幸福来敲门,https://movie.douban.com/subject/1849031/
"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,3375,5000,['李安'],1929463,9.0,45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/
"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,1433,2028,['拉斯·霍尔斯道姆'],3011091,9.3,45,忠犬八公的故事,https://movie.douban.com/subject/3011091/
"['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,498,755,['蒂姆·波顿'],1292370,8.7,45,剪刀手爱德华,https://movie.douban.com/subject/1292370/
"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,997,1500,['彼得·威尔'],1292064,9.1,45,楚门的世界,https://movie.douban.com/subject/1292064/
"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,2025,3000,"['彼特·道格特', '鲍勃·彼德森']",2129039,8.9,45,飞屋环游记,https://movie.douban.com/subject/2129039/
"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,4858,7200,['克里斯托弗·诺兰'],1889243,9.2,45,星际穿越,https://movie.douban.com/subject/1889243/
"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,709,1002,['大卫·芬奇'],1292223,8.7,45,七宗罪,https://movie.douban.com/subject/1292223/
"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,1600,2400,['威廉·惠勒'],1293839,8.9,45,罗马假日,https://movie.douban.com/subject/1293839/
"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,1000,1500,['詹姆斯·麦克特格'],1309046,8.8,45,V字仇杀队,https://movie.douban.com/subject/1309046/
"['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,580,856,['史蒂文·斯皮尔伯格'],1295124,9.4,45,辛德勒的名单,https://movie.douban.com/subject/1295124/
"['娜塔莉·波特曼', '米拉·库尼斯', '文森特·卡索', '芭芭拉·赫希', '薇诺娜·瑞德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,550,813,['达伦·阿伦诺夫斯基'],1978709,8.5,45,黑天鹅,https://movie.douban.com/subject/1978709/
"['阿什顿·库彻', '梅罗拉·沃特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,1383,2048,"['埃里克·布雷斯', 'J·麦基·格鲁伯']",1292343,8.7,45,蝴蝶效应,https://movie.douban.com/subject/1292343/
"['戴夫·帕特尔', '沙鲁巴·舒克拉', '亚尼·卡普', '拉詹德拉纳斯·祖特施', '吉尼瓦·塔瓦尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,1800,2664,"['丹尼·博伊尔', '洛芙琳·坦丹']",2209573,8.5,45,贫民窟的百万富翁,https://movie.douban.com/subject/2209573/
"['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,1000,1545,['大卫·芬奇'],1485260,8.8,45,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/
"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,400,592,['大卫·芬奇'],1292000,9.0,45,搏击俱乐部,https://movie.douban.com/subject/1292000/
"['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '埃丽萨·莫鲁奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,1201,1704,['朱塞佩·托纳多雷'],1292402,8.8,45,西西里的美丽传说,https://movie.douban.com/subject/1292402/
